dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
ehmi,composite,random,0.3225378787878788,10.989583333333334,0.0,15.73242815970778,0.0,16,24
ehmi,composite,sobol,0.3225378787878788,10.48125,0.0,15.67469177661757,0.0,16,24
ehmi,composite,ucb,0.4380681818181818,2.7729166666666667,0.008345878649876185,4.487821824017132,-0.009187099275424828,0,24
ehmi,composite,qei,0.4464015151515151,4.55,0.010355066081660239,6.355114497399808,-0.09874940739259573,1,24
ehmi,composite,ei,0.44706439393939396,4.2875000000000005,0.014352507839524848,5.8697239141181,-0.11539968691306585,0,24
ehmi,composite,qucb,0.45331439393939393,2.6145833333333335,0.008006939867304328,4.443206708674847,0.0048188668083266745,0,24
ehmi,composite,logei,0.45549242424242425,4.15625,0.01559118135050453,5.863029648677656,-0.08688781534285761,1,24
ehmi,composite,qnei,0.4584280303030303,4.479166666666667,0.013559896225311686,5.98332907706691,-0.11197422411013547,2,24
ehmi,composite,greedy,0.559564393939394,9.4375,0.0400896061987776,12.310209602244086,0.05941633496398766,4,24
ehmi,composite,qpi,0.6819128787878789,7.8500000000000005,0.057838460500701024,10.403671075902041,-0.0898995222639039,0,24
ehmi,composite,logpi,0.6903409090909091,7.9875,0.055840197981867574,10.274391095064336,-0.10140936759475301,0,24
ehmi,composite,pi,0.7243371212121211,8.393749999999999,0.058429322069902874,11.021469418954505,-0.11760598969617425,0,24
opticarvis,composite,random,0.40151515151515155,7.580208333333334,0.0,200.54826221185257,0.0,10,24
opticarvis,composite,sobol,0.40151515151515155,8.498958333333333,0.0,202.82062804097828,0.0,10,24
opticarvis,composite,logei,0.46278409090909095,6.54375,0.0076007345407706275,191.20870378696873,-0.03181096390456582,5,24
opticarvis,composite,greedy,0.4673295454545454,8.236458333333333,0.017845916429398954,199.08216167108608,0.0830077568836061,1,24
opticarvis,composite,qnei,0.4777462121212121,5.316666666666666,0.0019804273049806513,187.40587926516366,-0.06896938467182,2,24
opticarvis,composite,pi,0.4850378787878788,8.00625,0.06032999788921444,199.40101019809717,-0.008307940298020036,2,24
opticarvis,composite,qei,0.5165719696969697,5.732291666666666,0.07308092973475253,187.629688997888,-0.028813872141762068,0,24
opticarvis,composite,qpi,0.5196022727272728,7.783333333333334,0.06015838254511773,199.364865737517,0.07480867299151645,1,24
opticarvis,composite,ei,0.5340909090909091,4.927083333333333,0.10840796806175211,183.97423271557219,-0.04243575906390762,2,24
opticarvis,composite,logpi,0.5493371212121212,7.814583333333334,0.0625493660277017,198.40253150187618,0.016905909800031007,0,24
opticarvis,composite,qucb,0.5701704545454546,4.1156250000000005,0.1238675506964605,175.1887720733896,-0.041821622537669356,0,24
opticarvis,composite,ucb,0.6142992424242424,3.4447916666666667,0.19869675124184413,171.5324463044699,-0.07572012717865051,1,24
provoice,composite,random,0.2857007575757576,10.688541666666666,0.0,35.644378212133596,0.0,21,24
provoice,composite,sobol,0.2857007575757576,10.0375,0.0,35.112644803566695,0.0,21,24
provoice,composite,logei,0.4961174242424242,5.832291666666666,0.03486847147531116,29.13196810315608,-0.11272636998824126,1,24
provoice,composite,qnei,0.5146780303030304,5.566666666666666,0.05487245153349601,28.712639580916104,-0.21844764922619417,0,24
provoice,composite,qucb,0.5228219696969697,7.09375,0.03505069088355034,31.085726433164538,-0.11703712539625445,0,24
provoice,composite,greedy,0.5371212121212121,6.345833333333334,0.04148298944651154,29.632047651469453,0.06271009491427545,0,24
provoice,composite,ucb,0.543655303030303,6.54375,0.05191006686468356,30.420459625595473,-0.056067749971991605,0,24
provoice,composite,ei,0.5518939393939394,5.479166666666667,0.053135284985533944,29.03192651614283,-0.16757152930771077,0,24
provoice,composite,qei,0.5539772727272727,5.558333333333334,0.06163851587471009,28.753929560159307,-0.20424558444313076,1,24
provoice,composite,pi,0.5567234848484849,4.701041666666667,0.06602521000587398,27.237893824656965,-0.09691657780425873,0,24
provoice,composite,qpi,0.5714015151515152,5.1156250000000005,0.07120600392765075,27.970943297115365,-0.06191106614800256,1,24
provoice,composite,logpi,0.5802083333333333,5.0375000000000005,0.05436512777991961,28.016316635531314,-0.049518586719018355,0,24
