state,state_name,chosen_action,Q_ei,Q_exploit,Q_replicate,Q_probe,n_ei,n_exploit,n_replicate,n_probe
0,early/calm/progress,exploit,0.3789455138580527,0.4469440913846515,0.34102450034434895,0.3698488832918301,172,146,136,139
1,early/calm/stall,exploit,0.29369228716021084,0.4573155304289559,0.27014831164781106,0.2909313449303586,6,6,4,8
2,early/surprise/progress,ei,0.3666425332300562,0.3589272574966404,0.34608656042556607,0.34270835968892177,346,354,331,329
3,early/surprise/stall,replicate,0.29051437281148007,0.32564586533676165,0.34712056978621497,0.3201455982219828,215,213,206,189
4,late/calm/progress,replicate,0.24319778454265759,0.22136297823328616,0.27271254715835336,0.21220831397045473,43,23,24,41
5,late/calm/stall,ei,0.2987265442088453,0.15900312995578292,0.201449197584711,0.17190593497554357,26,20,34,31
6,late/surprise/progress,ei,0.1731165396198998,0.1456194525530947,0.1718587229445194,0.16837417267189952,249,242,273,257
7,late/surprise/stall,probe,0.17167929448430935,0.16723626590784949,0.15701249588097682,0.18345379193194275,407,350,392,388
8,endgame/calm/progress,probe,0.008241523018805565,0.0035226814200530953,0.061214414941768734,0.0664483251489087,12,25,24,10
9,endgame/calm/stall,ei,0.19199361677497678,0.08404082886624722,0.11584437512925101,0.09192826056527703,13,10,17,12
10,endgame/surprise/progress,probe,0.04742023002021664,-0.012161353266925719,0.05099150481855779,0.05455970560193442,97,103,110,108
11,endgame/surprise/stall,probe,0.05242346352823813,0.047518460205372315,0.0434957774464636,0.07952243016851816,167,176,150,166
